GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProductHomework,default,Book,15,9,2,0,6,3,4,1,3,1
ProductHomework,default,ProductRepository,0,85,0,6,0,18,0,8,0,5
ProductHomework,default,ProductManager,0,75,0,8,0,17,0,8,0,4
ProductHomework,default,Product,15,18,0,0,7,7,4,3,4,3
ProductHomework,default,Smartphone,7,9,0,0,3,3,2,1,2,1
